Manager,US,Non-US,Developing,US,Non-US,Developing,Alternative,Cash
Alliance Bernstein,45,3,17,35,0,0,0,0
Atlantic Trust,28,6,9,30,3,0,24,0
Bank of America,53,9,3,28,1,1,0,5
BNY Mellon,26,9,10,30,0,0,25,0
Bessemer,19,9,3,20,4,5,34,6
Brown Advisory,29,13,12,19,3,0,20,4
Citi Private Bank,18,27,3,18,16,1,17,0
Constellation,20,10,10,25,5,0,30,0
Deutsche Bank,29,14,6,29,2,4,17,2
Fidelity,40,14,4,35,2,0,6,0
Fiduciary Trust,40,10,13,31,0,0,5,2
Fifth Third Bank,28,9,7,36,0,0,15,5
GenSpring,13,8,5,18,8,0,45,5
Glenmede,35,12,5,18,2,3,23,2
Harris Private Bank,54,10,4,18,0,0,15,0
Highmount Capital,25,5,10,40,5,0,15,0
Janney Montgomery,47,4,4,26,4,5,10,0
JPMorgan,20,9,5,22,3,0,38,3
Legg Mason,55,3,7,17,0,0,15,3
Northern Trust,24,8,5,31,0,0,32,0
PNC Asset Mgmt,40,8,2,30,0,0,20,0
Charles Schwab,29,20,5,29,1,0,11,5
SunTrust,26,6,3,25,7,0,30,3
UBS,32,10,7,27,6,0,17,2
US Bank,43,16,7,21,3,0,10,0
Wells Fargo,27,13,5,21,4,2,28,0
Wilmington Trust,27,11,4,31,1,0,27,0
